20250914 010400;6645.25;6645.25;6645.25;6645.25;1
20250914 014200;6645.25;6645.25;6645.25;6645.25;1
20250914 020300;6645.25;6645.25;6645.25;6645.25;3
20250914 022100;6645.25;6645.25;6645.25;6645.25;2
20250914 152800;6645.25;6645.25;6645.25;6645.25;1
20250914 154300;6645.25;6645.25;6645.25;6645.25;1
20250914 220100;6645.25;6650.75;6645;6645.75;437
20250914 220200;6646;6646;6644;6644.25;311
20250914 220300;6644;6644.5;6642.75;6643.75;217
20250914 220400;6643.75;6644;6642.5;6643.25;104
20250914 220500;6643.25;6643.75;6642.75;6643.75;221
20250914 220600;6643.75;6644.5;6643.5;6643.75;122
20250914 220700;6643.75;6644.25;6643.75;6644;55
20250914 220800;6644.25;6645;6644;6644.5;142
20250914 220900;6644.75;6646.5;6644.5;6646.5;73
20250914 221000;6646.25;6646.25;6645.5;6646.25;88
20250914 221100;6646.25;6646.25;6645.5;6646.25;128
20250914 221200;6646.25;6646.75;6646;6646.75;107
20250914 221300;6646.75;6646.75;6645.75;6645.75;78
20250914 221400;6645.5;6646;6645.5;6646;76
20250914 221500;6646;6647.5;6646;6647.25;191
20250914 221600;6647.25;6649;6647.25;6649;212
20250914 221700;6648.75;6649;6647.5;6648;209
20250914 221800;6648;6648.25;6647.25;6647.25;100
20250914 221900;6647.25;6647.75;6647.25;6647.5;24
20250914 222000;6647.75;6648.25;6647.5;6648.25;41
20250914 222100;6648;6648.25;6647.75;6647.75;66
20250914 222200;6648;6648;6647.25;6647.5;93
20250914 222300;6647.75;6648;6647.25;6647.5;83
20250914 222400;6647.75;6647.75;6647.25;6647.5;95
20250914 222500;6647.5;6647.75;6647;6647.25;72
20250914 222600;6647.25;6647.75;6647;6647.5;71
20250914 222700;6647.25;6647.25;6647;6647.25;12
20250914 222800;6647.5;6648;6647.25;6647.75;57
20250914 222900;6648;6648;6647.5;6648;23
20250914 223000;6647.75;6648;6647.5;6648;58
20250914 223100;6647.75;6648;6647.75;6648;59
20250914 223200;6648;6648;6647.25;6647.25;27
20250914 223300;6647.5;6648;6647.5;6647.75;48
20250914 223400;6647.75;6647.75;6647.25;6647.5;24
20250914 223500;6647.75;6648.25;6647.5;6647.75;60
20250914 223600;6648;6648;6647.5;6647.75;23
20250914 223700;6648;6648;6648;6648;2
20250914 223800;6648;6648;6647.75;6648;34
20250914 223900;6648.25;6648.5;6648.25;6648.25;38
20250914 224000;6648.25;6648.25;6648;6648.25;52
20250914 224100;6648.25;6648.5;6648.25;6648.25;47
20250914 224200;6648.5;6648.5;6648.25;6648.5;54
20250914 224300;6648.5;6648.75;6648.5;6648.75;39
20250914 224400;6648.75;6649;6648.75;6648.75;14
20250914 224500;6648.5;6648.5;6648.5;6648.5;16
20250914 224600;6648.5;6649;6648.5;6648.75;31
20250914 224700;6648.75;6649.25;6648.75;6649.25;65
20250914 224800;6649.25;6649.25;6648.75;6649;31
20250914 224900;6649;6649;6648.5;6649;38
20250914 225000;6649;6649;6648.25;6648.25;107
20250914 225100;6648.25;6649;6648.25;6648.75;25
20250914 225200;6648.5;6648.5;6648.5;6648.5;22
20250914 225300;6648.5;6648.5;6648;6648.25;41
20250914 225400;6648;6648.25;6648;6648.25;46
20250914 225500;6648.25;6648.25;6648.25;6648.25;6
20250914 225600;6648.25;6648.5;6648.25;6648.25;34
